Date,SPX,VIX,DJIA,RUSSELL2K,Nasdaq,Oil,Gold,Silver,Yen,FTSE,NYSE Composite,SPX total Return,MSACSR,RSXFS,CORESTICKM159SFRBATL,UNRATE,LNU02026631,LNS13026638,NILFWJN,FRBATLWGT12MMUMHWGJST,LNS11300060,GS10,BAA10Y,DGS2,DGS5,AAA10Y,DGS30,DGS3MO,BAMLH0A0HYM2EY,BAMLH0A3HYCEY,BAMLH0A0HYM2,CSUSHPISA,NASDAQCOM,EMVOVERALLEMV,EMVMACROINTEREST,EMVMONETARYPOL,EMVMACROBUS,UMCSENT,MICH,USALOLITONOSTSAM,SAHMREALTIME,JHGDPBRINDX,FRBKCLMCILA,FRBKCLMCIM,DCOILWTICO,PPIACO,PPORKUSDM,WPU08,APU0000713111,APU0000703112,ICSA,CCSA,FEDFUNDS,CPIAUCSL,M2SL,PSAVERT,REAINTRATREARAT10Y,VIXCLS,DFF
10/1/2000,0,3.059999466,320.2197266,-23.69000244,-303.1901855,0,0,0,0.660003662,144.199707,31.50976563,-8.419921875,0,-616,0.0222405,0,-43,-18,4,0,-0.1,-0.06,0.055857143,-0.169119048,-0.151642857,-0.0145,-0.023166667,0.119761905,0.725,1.759090909,0.838636364,0.844,-541.9974545,9.86987,2.84949,2.73214,0.41941,-1,0.3,-0.271244581,-0.03,7.96,0.01087,-0.21607,-0.775363636,0.7,-2.274545455,-0.2,0.026,0.003,800,-3350,-0.01,0.3,16,0.2,-0.00937059,5.5125,-0.007645161
11/1/2000,1,6.020000458,-556.6494141,-51.73999023,-771.6999512,2.939998627,-3.5,-0.225000381,1.580001831,-296.199707,-383.199707,-156.4899902,0.2,-890,-0.0494231,0,34,-97,-61,0,0.2,-0.02,-0.040952381,-0.037142857,-0.085238095,-0.073333333,-0.027619048,0.061428571,0.735,1.524545455,0.795909091,0.92,-278.4093074,2.18141,1.13357,1.11934,0.03859,1.8,-0.3,-0.309203244,0,0,-0.1084,0.03923,1.308506494,-0.4,-6.203549784,-0.7,0.021,0.039,33250,95000,0,0.3,11.1,0,-0.04348766,1.182857143,0.004978495
12/1/2000,1,-2.799999237,373.5,37.58999634,-127.4099121,-7,1.899993896,-0.088999748,4.239997864,80.29980469,286.449707,8.949951172,-0.6,327,0.1022269,0,-21,-37,219,0,0.1,-0.48,0.220595238,-0.523238095,-0.529619048,0.234833333,-0.285214286,-0.419190476,0.45478355,2.632489177,0.925627706,0.838,-397.6077381,3.4555,6.06871,6.97819,0.08691,-9.2,-0.1,-0.333466897,0.06,0,-0.14661,-0.69629,-5.980642857,1.2,6.073595238,-0.5,-0.006,0.004,11750,95150,-0.11,0.4,44.7,-0.2,-0.19392751,0.147642857,-0.112075269
1/1/2001,0,-4.829999924,99.37011719,24.80999756,302.2099609,1.900001526,-6.399993896,0.205999851,2.069999695,75,71.58007813,65.18005371,0.2,1996,-0.0941972,0.3,-51,171,-150,0.1,0.2,-0.08,-0.014880952,-0.592,-0.309428571,0.0185,0.050452381,-0.651761905,-0.798874459,-0.667034632,-0.550627706,0.706,-0.943214286,-5.24398,-2.48931,-2.58122,0.23401,-3.7,0.2,-0.304664887,0.1,10.8548,0.11351,-0.02255,1.149214286,3.8,-4.371409091,-1.1,-0.015,0.068,-6000,89350,-0.42,1,50.7,0.4,-0.38777748,-1.611928571,-0.426451613
2/1/2001,0,6.329999924,-392.0800781,-33.97000122,-620.8999023,-1.280000687,1.199981689,-0.318999767,0.709999084,-379.6000977,-388.0600586,-173.4700928,-0.1,50,0.0996894,0,55,163,170,0.1,0,-0.06,0.007117794,-0.103157895,0.027744361,0.012105263,-0.086215539,-0.279974937,-0.893363636,-4.625227273,-0.855681818,0.654,-207.294812,-7.91294,-5.09462,-5.12828,-0.26516,-4.1,-0.2,-0.234003685,0.07,0,-0.1911,-0.2019,0.023759398,-2.6,3.412409091,-0.1,0.046,0.039,31250,90750,-0.49,0.4,38.4,0.1,0.01558104,-1.506992481,-0.481520737
3/1/2001,1,0.289999008,-616.5,-23.83999634,-311.5700684,-1.020000458,-8.899993896,-0.194000244,8.720001221,-284.199707,-330.7397461,-109.539917,0.1,-2376,-0.0181472,0.1,28,66,-274,0,0,-0.21,0.183899522,-0.314569378,-0.243588517,0.09062201,-0.115191388,-0.469808612,0.081347826,-0.087282609,0.307717391,0.609,-462.9062919,10.20098,3.08195,4.86601,0.16033,0.9,0,-0.151710937,0.1,0,0.00416,-0.12286,-2.36492823,-1.5,9.315318182,1.3,-0.101,0.008,15950,98900,-0.18,0.1,57.9,0.3,0.00028075,5.085239234,-0.183317972
4/1/2001,1,-3.159999847,856.1894531,34.79000854,275.9799805,0,0,0,-2.730003357,333.2998047,414.1699219,125.8499756,0.1,4435,0.1295788,0.1,-58,81,212,0.1,-0.4,0.25,-0.031136364,-0.108272727,0.120772727,-0.032227273,0.306454545,-0.569454545,0.620652174,3.086782609,0.587782609,0.543,-52.73518182,-3.98679,-1.81303,-3.5766,0.11363,-3.1,0.3,-0.076867876,0.1,31.2169,-0.10494,-0.3332,0.245454545,0.5,1.522467532,0.1,0.064,0.023,9550,111850,-0.51,0.3,63.9,-0.1,-0.04631082,-0.362818182,-0.508967742
5/1/2001,0,-2.840000153,176.9707031,11.17999268,-5.75,1.970001221,7.399993896,0.118000031,-4.149993896,-170.7998047,72.33007813,11.69995117,0.1,455,-0.0164314,-0.1,-2,68,7,0,0.1,0.25,-0.247045455,0.026,0.164227273,-0.163227273,0.134,-0.262818182,-0.586304348,-1.822,-0.814304348,0.512,247.2006364,-5.01154,-1.31394,-1.11181,0.13522,3.6,0.1,-0.024570346,0.07,0,0.02878,0.30833,1.139090909,0.4,5.979805195,6.1,0.014,-0.028,-2250,122000,-0.59,0.9,-2.9,-0.5,0.21243406,-5.189909091,-0.589741935
6/1/2001,0,-3.579999924,-409.5400391,16.14001465,50.05004883,-2.120000839,5.300018311,-0.104000092,5.5,-153.7001953,-210.5302734,-42.77001953,0.2,-1196,0.1274771,0.2,6,140,121,-0.1,-0.2,-0.11,0.010021645,-0.18,-0.120584416,-0.003939394,-0.11047619,-0.137943723,0.246758893,0.687727273,0.36812253,0.632,-69.07577922,-5.08864,-1.73248,-2.86974,-0.54151,0.6,-0.2,-0.021503542,0.06,0,-0.1638,-0.02035,-1.03004329,-1.3,2.303528139,1.7,0.04,-0.032,2700,128150,-0.24,0.4,40.5,-0.1,0.09303805,-2.003614719,-0.242591398
7/1/2001,0,2.560001373,20.40917969,-27.86001587,-133.4100342,0,0,0,0.279998779,-113.3999023,-50.95996094,-16.86999512,0,-1025,0.0072459,0.1,45,87,-148,0,0,-0.04,0.043333333,-0.041428571,-0.045238095,0.004761905,-0.056190476,0.028095238,0.146818182,0.91,0.203181818,0.695,-78.07428571,5.25649,0.95743,1.37148,0.24746,-0.2,-0.4,-0.04061851,0,25.6123,-0.00508,-0.08522,-1.174285714,-2.1,0.055238095,-4,0.011,-0.023,800,83350,-0.2,-0.3,29.9,1.2,0.00191142,1.375714286,-0.200634409
